City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,montrose,38.4166,-108.2673,-4.83,60,100,1.05,US,1702347115
345,stokesdale,36.2371,-79.9795,1.86,87,0,0.0,US,1702347173
346,cooper's town,26.8667,-77.5167,21.92,70,100,7.84,BS,1702347245
347,udachny,66.4167,112.4,-25.39,97,99,3.68,RU,1702347245
348,itamaraca,-7.7478,-34.8256,27.03,75,0,3.88,BR,1702347245
349,gniezno,52.5348,17.5826,6.88,98,100,4.18,PL,1702347245
350,kudahuvadhoo,2.6708,72.8944,28.04,72,25,2.04,MV,1702347245
351,el bauga,18.262,33.9081,19.92,26,3,4.85,SD,1702347024
352,port alfred,-33.5906,26.891,17.32,95,0,2.24,ZA,1702347246
353,colonia,50.9333,6.95,8.79,81,75,2.57,DE,1702347203
354,pauini,-7.7136,-66.9764,24.36,92,79,0.84,BR,1702347246
355,turkmenbasy,40.0222,52.9552,-3.57,54,75,10.29,TM,1702347246
356,elva,58.2225,26.4211,-2.92,95,100,4.12,EE,1702347246
357,nanga eboko,4.6833,12.3667,18.56,60,95,0.7,CM,1702347246
358,taroudant,30.4703,-8.877,17.96,35,94,1.7,MA,1702347246
